OID_,osm_id,code,fclass,name,POINT_X,POINT_Y,POINT_Z
6043,1999941068,2907,camera_surveillance, ,2.242129,48.8926931,0
5802,1955771816,2907,camera_surveillance, ,2.2396467,48.8926802,0
17355,5934175870,2906,waste_basket, ,2.2395258,48.8926402,0
24302,9306528318,2084,college,Digital College Paris La D¨¦fense,2.2367109,48.892636,0
8788,2813296297,2906,waste_basket, ,2.2369953,48.8926256,0
8787,2813296293,2906,waste_basket, ,2.2370286,48.8926127,0
8786,2813296292,2906,waste_basket, ,2.2371183,48.8926032,0
5808,1956516712,2907,camera_surveillance, ,2.2443032,48.8926002,0
5809,1956516725,2907,camera_surveillance, ,2.2442996,48.8925964,0
8785,2813296288,2906,waste_basket, ,2.2371386,48.8925954,0
5801,1955771807,2907,camera_surveillance, ,2.2398763,48.892595,0
5899,1984216193,2907,camera_surveillance, ,2.2336129,48.892594,0
5800,1955771800,2907,camera_surveillance, ,2.2399555,48.8925787,0
17353,5934175868,2906,waste_basket, ,2.2392254,48.8925635,0
24381,9364003568,2301,restaurant,Y¨´ki Ono,2.2394559,48.8925633,0
5799,1955771794,2907,camera_surveillance, ,2.2400347,48.8925623,0
51,181805216,2742,viewpoint,Grande Arche,2.2358933,48.8925554,0
3882,1355008423,2602,atm, ,2.240009,48.8925542,0
8784,2813296282,2902,bench, ,2.2369582,48.8925503,0
8783,2813296281,2906,waste_basket, ,2.2370239,48.8925502,0
8782,2813296280,2701,tourist_info, ,2.2370778,48.8925378,0
3880,1354936721,2519,optician,Optic 2000,2.2389363,48.8925266,0
5555,1921759163,2907,camera_surveillance, ,2.2429601,48.8925252,0
8781,2813296279,2906,waste_basket, ,2.2369169,48.8925244,0
5798,1955771744,2907,camera_surveillance, ,2.2401292,48.8925156,0
20160,7214191735,2906,waste_basket, ,2.2268649,48.8925148,0
8780,2813296278,2906,waste_basket, ,2.236949,48.8925125,0
8779,2813296277,2902,bench, ,2.2370539,48.892512,0
17354,5934175869,2906,waste_basket, ,2.2394058,48.8925101,0
5797,1955771731,2907,camera_surveillance, ,2.2401605,48.8925062,0
8778,2813296276,2701,tourist_info, ,2.236915,48.8924974,0
3881,1355008382,2901,toilet, ,2.2401837,48.8924959,0
8777,2813296275,2906,waste_basket, ,2.2370438,48.8924923,0
8776,2813296274,2593,vending_any, ,2.2370321,48.8924822,0
5501,1911378516,2907,camera_surveillance, ,2.2407304,48.8924771,0
13078,4230212724,2592,vending_parking, ,2.2275532,48.8924722,0
5503,1911378518,2907,camera_surveillance, ,2.2407211,48.8924699,0
5502,1911378517,2907,camera_surveillance, ,2.2407307,48.8924687,0
